,p1,p2,p3,efficiency
27914,2.05,1.4,0.95,0.408194136554
27638,2.1,1.4,0.95,0.408188807866
27628,2.1,1.45,0.95,0.408137350285
28167,2.0,1.4,0.95,0.408067286221
27904,2.05,1.45,0.95,0.407851465984
27328,2.15,1.45,0.95,0.407697855789
27617,2.1,1.5,0.95,0.407587804896
28398,1.95,1.4,0.95,0.407546379545
27338,2.15,1.4,0.95,0.407478877472
27317,2.15,1.5,0.95,0.407418746299
28157,2.0,1.45,0.95,0.407412616497
27003,2.2,1.45,0.95,0.407132475017
26992,2.2,1.5,0.95,0.407110124436
27893,2.05,1.5,0.95,0.407010707607
28176,2.0,1.35,0.95,0.406914024405
27923,2.05,1.35,0.95,0.406728875583
28407,1.95,1.35,0.95,0.406716877582
27013,2.2,1.4,0.95,0.406656737791
28388,1.95,1.45,0.95,0.406567949967
27647,2.1,1.35,0.95,0.406432333907
27305,2.15,1.55,0.95,0.406401572509
26980,2.2,1.55,0.95,0.406349709555
26641,2.25,1.5,0.95,0.406307384885
27605,2.1,1.55,0.95,0.406300195209
28146,2.0,1.5,0.95,0.406259858965
26652,2.25,1.45,0.95,0.406090575745
26629,2.25,1.55,0.95,0.405786129725
27347,2.15,1.35,0.95,0.405451967615
27881,2.05,1.55,0.95,0.405431884931
26263,2.3,1.5,0.95,0.405418921977
26662,2.25,1.4,0.95,0.405375678798
26251,2.3,1.55,0.95,0.405125869898
28377,1.95,1.5,0.95,0.405091432582
26274,2.3,1.45,0.95,0.404973909757
25857,2.35,1.5,0.95,0.404446838229
26967,2.2,1.6,0.95,0.40440469553
25845,2.35,1.55,0.95,0.40437562545
27022,2.2,1.35,0.95,0.404373069025
28134,2.0,1.55,0.95,0.404369037134
27292,2.15,1.6,0.95,0.404199799574
26616,2.25,1.6,0.95,0.404080275421
26284,2.3,1.4,0.95,0.40403080973
28415,1.95,1.3,0.95,0.403939700829
27592,2.1,1.6,0.95,0.403827986376
28184,2.0,1.3,0.95,0.403813087799
25868,2.35,1.45,0.95,0.40377998671
26238,2.3,1.6,0.95,0.403648218674
27931,2.05,1.3,0.95,0.403315939822
25410,2.4,1.55,0.95,0.403285140175
25422,2.4,1.5,0.95,0.403162646939
25832,2.35,1.6,0.95,0.403119813525
26953,2.2,1.65,0.95,0.403065894496
26602,2.25,1.65,0.95,0.402980634109
28365,1.95,1.55,0.95,0.402876850898
26671,2.25,1.35,0.95,0.402852850311
26224,2.3,1.65,0.95,0.402776780442
27655,2.1,1.3,0.95,0.402728185158
27868,2.05,1.6,0.95,0.40266846311
25878,2.35,1.4,0.95,0.402615047383
27278,2.15,1.65,0.95,0.402604239632
25818,2.35,1.65,0.95,0.402470214593
25433,2.4,1.45,0.95,0.402302089403
25397,2.4,1.6,0.95,0.402223034267
27578,2.1,1.65,0.95,0.401961990535
24945,2.45,1.55,0.95,0.401883830675
